property,domain,range,belong
IDFA_MAC,IDFA,MAC唯一标识
ANDROID_IMEI,ANDROID,IMEI唯一标识
SOFTID_IMEI,SOFTID,IMEI唯一标识
IDFA_IMEI,IDFA,IMEI唯一标识
ANDROID_IMSI,ANDROID,IMSI唯一标识
SOFTID_IMSI,SOFTID,IMSI唯一标识
IDFA_IMSI,IDFA,IMSI唯一标识
ICCID_IMSI,ICCID,IMSI唯一标识
ANDROID_SOFTID,ANDROID,SOFTID
MOBILE_ADDRESS,手机唯一标识,地址唯一标识
TEL_ADSL,固定电话,ADSL
